City,AQI,PM2.5,PM10,NO2,CO,SO2,O3,Temperature (°C),Humidity (%),Wind Speed (km/h),Rainfall (mm),Pressure (hPa),Vehicle Count,Industrial Activity Index,Health Impact Score
Rajkot,59,30.8476,56.3564,17.3523,1.0889,8.8533,38.4519,21.0479,51.5389,11.2577,0.0,1013.4612,78107,2.3854,16
Vadodara,137,71.283,111.3641,33.138,1.5379,23.7833,80.5089,39.8484,34.0324,8.9857,0.0,1007.9661,76722,6.2284,62
Patna,65,37.8166,50.156,18.9219,0.9076,7.3465,40.6074,20.5977,54.059,10.7547,0.0,1009.5072,79730,2.2307,20
Bhopal,75,46.8184,73.1685,22.1732,0.937,13.7589,28.8469,27.5423,47.6938,19.4255,0.0,1010.8913,93183,6.3089,27
Bhopal,89,53.9067,90.993,29.3319,1.1104,19.8787,76.2196,35.279,42.2332,8.1074,0.0,1008.3981,49836,4.8196,34
Patna,61,29.7875,53.1795,18.8046,1.2434,7.208,42.8252,25.3178,47.8848,12.0205,0.0,1008.9821,86657,1.8431,17
Agra,90,48.5793,90.8737,26.6673,1.5705,14.0503,49.005,18.8967,54.4012,9.4834,0.0,1010.1287,98308,3.8945,34
Ludhiana,188,86.6867,134.8925,41.5835,2.2973,25.4266,66.8253,12.8284,48.7904,7.751,0.0,1009.0907,138873,6.6845,86
Ludhiana,179,84.3557,123.806,39.3244,1.8385,31.7175,80.2933,33.3609,33.8383,8.2731,0.0,1010.1615,71164,7.899,83
Surat,105,61.5998,100.0045,32.6593,1.6814,21.7268,52.5811,29.506,81.5504,12.7463,0.0,1012.5197,107846,6.9432,49
Pune,98,50.5144,97.5702,31.332,1.4758,16.3713,54.5298,19.5173,48.8365,9.6477,0.0,1012.1419,89639,4.6117,37
Nagpur,70,32.3706,69.238,21.1857,1.333,8.5549,53.2376,29.3999,40.6576,9.4984,0.0,1010.2418,95636,2.0157,20
Bhopal,64,36.5925,63.0081,17.3624,1.313,7.7302,61.7115,31.8774,45.8115,6.2974,0.0,1011.762,77140,1.1785,20
Meerut,117,60.8096,122.4435,29.7416,1.3019,19.4563,73.8103,35.9444,35.8176,8.2826,0.0,1010.694,75208,4.9513,48
Kolkata,204,91.7118,149.9133,45.0332,3.283,17.4988,64.4622,25.8958,46.0364,11.6386,0.0,1009.4447,338834,5.4099,90
Indore,56,29.5494,21.1791,22.8217,1.111,12.0623,29.3725,11.4047,59.8266,15.5385,14.318,1013.9963,81027,4.5469,16
Varanasi,58,15.9953,3.0,20.3345,1.2019,11.2262,40.9972,15.3506,55.9945,9.5951,32.6548,1010.0336,81367,3.0087,15
Bhopal,93,57.6528,92.4429,29.0029,1.6347,16.0852,55.8927,29.8342,38.3561,11.8519,0.0,1014.448,116868,5.1361,37
Lucknow,72,38.9718,71.328,23.7035,0.9835,13.1002,46.2899,19.4058,47.384,9.6664,0.0,1009.3343,49023,3.0882,22
Pune,42,10.7588,34.6406,14.592,0.7802,3.4556,28.7438,20.6641,48.0818,15.968,10.1478,1008.1804,77897,1.106,9
Delhi,220,95.3707,161.4119,50.3412,3.7619,20.193,92.6903,43.4019,33.1479,11.5251,0.0,1008.3381,380105,6.1115,92
Bhopal,88,45.1553,89.2377,25.5997,1.4642,14.4108,55.1516,30.022,39.3502,10.5327,0.0,1008.4686,96992,3.9284,30
Srinagar,111,60.2736,116.5382,37.1149,2.0524,18.2813,87.12,28.9634,66.4694,5.1446,0.0,860.54,100873,3.7748,49
Indore,80,10.9957,3.0,19.3551,1.5949,15.5736,79.701,55.2859,18.623,9.2814,47.7459,1005.7931,99680,3.6243,16
Ahmedabad,201,90.4155,146.9167,41.4264,1.8222,34.0952,83.3483,19.7077,49.9898,5.9303,0.0,1014.4259,63490,7.6143,90
Chennai,215,94.019,159.88,50.0285,3.6103,17.2162,72.2292,29.6961,79.6706,11.1023,0.0,1009.0517,390113,5.2235,93
Pune,75,38.9758,74.1258,20.4919,1.271,10.2368,48.8917,25.8289,40.1243,9.9538,1.8974,1009.5732,86454,2.5073,23
Chennai,137,71.5885,117.2262,42.0198,2.7259,20.3002,63.8399,29.0378,82.1876,12.2559,2.7267,1008.3618,265377,6.7241,68
Bhopal,110,52.5008,114.4037,31.5395,1.3783,17.3521,94.8546,35.2934,28.5146,6.1991,0.0,1009.7397,62031,4.0903,41
Kolkata,277,113.522,178.2288,64.5135,4.1871,25.1651,112.9307,37.1403,37.1811,8.8595,0.0,1009.4322,366911,6.9154,98
Bangalore,175,80.9435,71.5632,80.5611,6.1104,21.9159,150.6817,32.4045,34.2532,6.8145,16.7016,1011.9168,485725,5.1388,80
Mumbai,180,84.0772,123.8811,54.3347,3.9331,14.4805,71.5249,33.1059,75.7309,16.1995,0.0,1010.924,529589,5.3014,85
